Image_Index, Camera, Point_Index, X, Y
6, left, 43, 2298.7344, 845.8937
6, left, 44, 2296.1628, 806.2886
6, left, 45, 2293.6868, 767.7984
6, left, 46, 2291.2632, 729.8824
6, left, 47, 2288.9648, 693.2316
6, left, 48, 2286.6672, 657.1835
6, left, 49, 2249.4624, 840.9479
6, left, 50, 2247.7786, 801.7504
6, left, 51, 2245.8108, 763.0864
6, left, 52, 2244.1174, 725.3926
6, left, 53, 2241.9805, 688.5078
6, left, 54, 2240.4087, 652.9050
6, right, 1, 1532.5458, 507.0414
6, right, 2, 1528.0000, 444.0000
6, right, 3, 1523.9244, 381.2480
6, right, 4, 1519.6626, 321.1743
6, right, 5, 1515.8865, 259.7531
6, right, 6, 1512.1144, 200.6389
6, right, 7, 1473.0000, 535.0000
6, right, 8, 1469.7506, 472.0633
6, right, 9, 1465.5947, 412.5633
6, right, 10, 1462.7207, 349.6154
6, right, 11, 1459.0283, 290.7378
6, right, 12, 1455.8038, 231.9704
6, right, 13, 1416.5858, 561.6171
6, right, 14, 1413.0000, 500.0000
6, right, 15, 1409.9764, 438.5331
6, right, 16, 1406.9637, 378.4337
6, right, 17, 1403.8490, 319.6173
6, right, 18, 1400.9836, 262.1529
6, right, 19, 1361.0441, 587.5451
6, right, 20, 1358.0449, 526.4365
6, right, 21, 1355.2755, 466.2503
6, right, 22, 1352.7302, 406.4785
6, right, 23, 1350.5179, 347.4483
6, right, 24, 1347.8737, 291.1038
6, right, 25, 1306.9176, 612.8838
6, right, 26, 1305.0000, 552.0000
6, right, 27, 1302.2485, 492.4121
6, right, 28, 1300.4077, 432.1413
6, right, 29, 1297.9224, 376.0509
6, right, 30, 1296.1184, 318.8740
6, right, 31, 1254.4705, 636.6332
6, right, 32, 1252.2755, 577.6311
6, right, 33, 1250.0000, 518.0000
6, right, 34, 1248.7192, 460.1797
6, right, 35, 1247.0000, 403.0000
6, right, 36, 1245.4417, 346.9554
6, right, 37, 1202.8890, 661.3177
6, right, 38, 1202.0000, 602.0000
6, right, 39, 1200.0790, 543.2800
6, right, 40, 1199.0000, 486.0000
6, right, 41, 1197.3723, 429.2222
6, right, 42, 1196.0240, 374.7198
6, right, 43, 1153.0000, 684.0000
6, right, 44, 1151.9333, 625.6297
6, right, 45, 1151.0000, 568.0000
6, right, 46, 1149.8405, 510.9386
6, right, 47, 1149.0000, 455.0000
6, right, 48, 1148.5096, 399.6708
6, right, 49, 1104.4614, 706.8781
6, right, 50, 1103.5768, 648.9667
